일자,회사명,이벤트,상세
2023-07-18,LS머트리얼즈,예심청구,신규상장
2023-07-21,이브로드캐스팅,예심청구,스팩 소멸합병
2023-07-25,하이센스바이오,예심청구,신규상장
2023-07-27,노브메타파마,예심청구,스팩 존속합병
2023-07-27,이엔셀,예심청구,신규상장
2023-07-27,폰드그룹,예심청구,재상장
2023-07-28,쓰리디메디비젼,예심청구,신규상장
2023-08-01,동인기연,예심청구,신규상장
2023-08-04,삼현,예심청구,신규상장
2023-08-04,자비스앤빌런즈,예심청구,신규상장
2023-08-09,한국제13호스팩,예심청구,신규상장
2023-08-10,KB제27호스팩,예심청구,신규상장
2023-08-10,씨어스테크놀로지,예심청구,신규상장
2023-08-10,옵토레인,예심청구,신규상장
2023-08-17,현대힘스,예심청구,신규상장
2023-08-24,교보15호스팩,예심청구,신규상장
2023-08-24,코셈,예심청구,신규상장
2023-08-24,크리에이츠,예심청구,스팩 소멸합병
2023-08-29,스튜디오삼익,예심청구,신규상장
2023-08-29,아이엠비디엑스,예심청구,신규상장
2023-08-30,민테크,예심청구,신규상장
2023-08-30,우진엔텍,예심청구,신규상장
2023-08-30,코루파마,예심청구,신규상장
2023-08-31,케이엑스인텍,예심청구,스팩 소멸합병
2023-09-01,제일엠앤에스,예심청구,신규상장
2023-09-06,DS단석,예심청구,신규상장
2023-09-07,HB인베스트먼트,예심청구,신규상장
2023-09-08,유라클,예심청구,신규상장
2023-09-11,KB제27호스팩,상장승인,신규상장
2023-09-13,한국제13호스팩,상장승인,신규상장
2023-09-14,노르마,예심청구,신규상장
2023-09-14,키움히어로제1호스팩,예심청구,신규상장
2023-09-15,SK이터닉스,예심청구,재상장
2023-09-15,삐아,예심청구,스팩 소멸합병
2023-09-15,엔에이치스팩30호,예심청구,신규상장
2023-09-15,케이엔알시스템,예심청구,신규상장
2023-09-18,코칩,예심청구,신규상장
2023-09-21,제이투케이바이오,예심청구,스팩 소멸합병
2023-09-22,IBKS제23호스팩,예심청구,신규상장
2023-09-22,나노시스템,예심청구,신규상장
2023-09-22,에이피알,예심청구,신규상장
2023-09-22,엔젤로보틱스,예심청구,신규상장
2023-09-26,아이빔테크놀로지,예심청구,신규상장
2023-09-26,엔지노믹스,예심청구,신규상장
2023-09-27,삼성스팩9호,예심청구,신규상장
2023-09-27,엔카닷컴,예심청구,신규상장
2023-09-27,쓰리디메디비젼,심사철회,신규상장
2023-10-10,포스코DX,예심청구,이전상장
2023-10-11,엔에이치스팩30호,상장승인,신규상장
2023-10-11,동인기연,상장승인,신규상장
2023-10-12,폰드그룹,상장승인,재상장
2023-10-16,유진스팩10호,예심청구,신규상장
2023-10-16,키움히어로제1호스팩,공모철회,신규상장
2023-10-16,교보15호스팩,상장승인,신규상장
2023-10-18,IBKS제23호스팩,상장승인,신규상장
2023-10-19,LS머트리얼즈,상장승인,신규상장
2023-10-20,IBKS제24호스팩,예심청구,신규상장
2023-10-20,씨피시스템,예심청구,스팩 존속합병
