기업명,진행상태,수요예측기간,밴드,공모주식수,공모금액,멀티플,확정공모가,수요예측경쟁률,참여기관수,청약일정,청약경쟁률,상장예정일,상장일,대표주관,공동주관,인수수수료,수수료율
삼성스팩13호,상장완료,해당없음,"2,000","6,000,000","12,000",해당없음,"2,000",1159.11,1892,2026-01-12~01-13,"1,870.40",,2026-01-21,삼성,,360,3.00%
덕양에너젠,상장완료,수집예정,"8,500~10,000","7,500,000","75,000","상대가치법·EV/EBITDA / 유사기업 EV/EBITDA 30.32배, 할인율 36.02~24.73%",10000,650.14,2324,2026-01-20~01-21,"1,354.00",,2026-01-30,NH,미래,"2,000",2.92%
에스팀,상장완료,수집예정,"7,000~8,500","1,800,000","15,300",상대가치법·EV/EBITDA / 비교대상기업 EV/EBITDA 17.71배,8500,1334.91,2263,2026-02-23~02-24,"1,334.91",,2026-03-06,한국,,788,5.00%
액스비스,상장완료,수집예정,"10,100~11,500","2,300,000","26,450","상대가치법·PER / 유사기업 PER 27.60배, 할인율 23.40~32.73%",11500,1124.21,2411,2026-02-23~02-24,"1,960.87",,2026-03-09,미래,,"1,090",4.00%
카나프테라퓨틱스,상장완료,수집예정,"16,000~20,000","2,000,000","40,000","상대가치법·PER / 비교대상회사 PER 23.59배, 할인율 35.30~19.13%",20000,962.1,2327,2026-03-05~03-06,"1,899.29",,2026-03-16,한국,,"2,050",5.00%
아이엠바이오로직스,상장완료,수집예정,"19,000~26,000","2,000,000","52,000","상대가치법·PER / 비교회사 PER 21.46배 (2028 추정 순이익), 주당평가 41,663원, 할인율 37.59~54.40%",26000,839.23,2333,2026-03-11~03-12,"1,806.00",,2026-03-20,한국,,"2,650",5.00%
한패스,상장완료,수집예정,"17,000~19,000","1,100,000","20,900","상대가치법·PER / 유사기업 PER 29.09배, 주당평가 27,244원, 할인율 37.60~30.26%",19000,1172.59,2229,2026-03-16~03-17,"1,673.04",,2026-03-25,한국,,753,3.50%
메쥬,상장완료,수집예정,"16,700~21,600","1,345,000","29,052","상대가치법·PER / 비교기업 PER 20.66배 (2028 추정 순이익), 주당평가 26,899원, 할인율 38.00~19.80%",21600,1108.93,2320,2026-03-16~03-17,"2,428.25",,2026-03-26,신한,,"1,496",5.00%
NH스팩33호,상장완료,해당없음,"2,000","6,350,000","12,700",해당없음,"2,000",1228.71,2058,2026-03-17~03-18,569.27,,2026-03-27,NH,,381,3.00%
리센스메디컬,상장완료,수집예정,"9,000~11,000","1,400,000","15,400","상대가치법·PER / 비교회사 PER 31.33배 (2027 추정 순이익), 주당평가 16,177원, 할인율 44.37~32.00%",11000,1352.63,2261,2026-03-19~03-20,"2,097.68",,2026-03-31,한국,KB,916,5.77%
신한스팩17호,상장완료,해당없음,"2,000","5,000,000","10,000",해당없음,"2,000",1343.8,2022,2026-03-19~03-20,"1,403.74",,2026-04-01,신한,,350,3.50%
교보스팩20호,상장완료,해당없음,"2,000","5,400,000","10,800",해당없음,"2,000",1196.99,1855,2026-03-23~03-24,747.00,,2026-04-02,교보,,300,2.78%
인벤테라,상장완료,수집예정,"12,100~16,600","1,180,000","19,588","상대가치법·PER / 유사기업 PER 24.34배 (2029 추정 순이익), 주당평가 21,257원, 할인율 43.08~21.91%",16600,1328.82,2309,2026-03-23~03-24,"1,913.00",,2026-04-02,NH,,"1,211",6.00%
키움히어로스펙2호,상장완료,해당없음,"2,000","6,000,000","12,000",해당없음,"2,000",1271.12,2054,2026-04-14~04-15,"1,727.59",,2026-04-23,키움,,300,2.50%
채비,상장완료,수집예정,"12,300~15,300","9,000,000","110,700",상대가치법·EV/EBITDA / 비교기업 평균 24.0배 (2028 추정 EBITDA),12300,55.23,751,2026-04-20~04-21,302.11,,2026-04-29,KB,삼성,"3,384",3.00%
신한스팩18호,상장완료,해당없음,"2,000","5,000,000","10,000",해당없음,"2,000",1388.6,2044,2026-04-20~04-21,"1,601.36",,2026-04-30,신한,,350,3.50%
코스모로보틱스,상장완료,수집예정,"5,300~6,000","4,170,000","25,020",상대가치법·PER / 유사기업 PER 47.45배 (2028 추정 순이익),6000,1140.11,2257,2026-04-27~04-28,"2,013.80",,2026-05-11,유진,NH,"1,289",3.78%
폴레드,상장완료,수집예정,"4,100~5,000","2,600,000","13,000","상대가치법·PER / 유사기업 PER 19.05배 (2025 실적 순이익), 주당평가 6,178원, 할인율 33.64~19.07%",5000,1486.66,2372,2026-05-04~05-05,"3,169.86",,2026-05-14,NH,,540,4.03%
